Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 101.74it/s]
奖励模型检查通过：embedding_size=92544, tokenizer_size=92544, reward_token_id=92527
past_key_values should not be None in from_legacy_cache()
所加载Model可训练参数：25.830 百万
所加载Model可训练参数：25.830 百万
Epoch: 1, Step: 960/10000, Actor Loss: 0.000005, Reward: -2.090161, Avg Response Len: 96.00, LR: 7.84e-08
Epoch: 1, Step: 980/10000, Actor Loss: 0.000004, Reward: -1.030527, Avg Response Len: 96.00, LR: 7.83e-08
Epoch: 1, Step: 1000/10000, Actor Loss: 0.000008, Reward: -1.563945, Avg Response Len: 96.00, LR: 7.82e-08
Epoch: 1, Step: 1020/10000, Actor Loss: 0.000003, Reward: -1.698367, Avg Response Len: 96.00, LR: 7.82e-08
Epoch: 1, Step: 1040/10000, Actor Loss: 0.000003, Reward: -1.493492, Avg Response Len: 96.00, LR: 7.81e-08
Epoch: 1, Step: 1060/10000, Actor Loss: 0.000006, Reward: -1.768071, Avg Response Len: 96.00, LR: 7.80e-08
Epoch: 1, Step: 1080/10000, Actor Loss: 0.000005, Reward: -1.723551, Avg Response Len: 96.00, LR: 7.79e-08
Epoch: 1, Step: 1100/10000, Actor Loss: 0.000006, Reward: -1.947394, Avg Response Len: 96.00, LR: 7.79e-08
Epoch: 1, Step: 1120/10000, Actor Loss: 0.000007, Reward: -1.226429, Avg Response Len: 96.00, LR: 7.78e-08
Epoch: 1, Step: 1140/10000, Actor Loss: 0.000006, Reward: -0.997764, Avg Response Len: 96.00, LR: 7.77e-08
Epoch: 1, Step: 1160/10000, Actor Loss: 0.000008, Reward: -1.935390, Avg Response Len: 96.00, LR: 7.76e-08
Epoch: 1, Step: 1180/10000, Actor Loss: 0.000007, Reward: -1.562685, Avg Response Len: 96.00, LR: 7.76e-08
Epoch: 1, Step: 1200/10000, Actor Loss: 0.000010, Reward: -1.091721, Avg Response Len: 96.00, LR: 7.75e-08
Epoch: 1, Step: 1220/10000, Actor Loss: 0.000008, Reward: -1.844656, Avg Response Len: 96.00, LR: 7.74e-08
Epoch: 1, Step: 1240/10000, Actor Loss: 0.000007, Reward: -1.433981, Avg Response Len: 96.00, LR: 7.73e-08
Epoch: 1, Step: 1260/10000, Actor Loss: 0.000010, Reward: -1.338213, Avg Response Len: 96.00, LR: 7.72e-08
Epoch: 1, Step: 1280/10000, Actor Loss: 0.000013, Reward: -1.276642, Avg Response Len: 96.00, LR: 7.71e-08
Epoch: 1, Step: 1300/10000, Actor Loss: 0.000006, Reward: -2.019964, Avg Response Len: 96.00, LR: 7.70e-08
Epoch: 1, Step: 1320/10000, Actor Loss: 0.000013, Reward: -1.680706, Avg Response Len: 96.00, LR: 7.69e-08
Epoch: 1, Step: 1340/10000, Actor Loss: 0.000012, Reward: -1.760204, Avg Response Len: 96.00, LR: 7.69e-08
Epoch: 1, Step: 1360/10000, Actor Loss: 0.000011, Reward: -1.681518, Avg Response Len: 96.00, LR: 7.68e-08
Epoch: 1, Step: 1380/10000, Actor Loss: 0.000011, Reward: -1.647067, Avg Response Len: 96.00, LR: 7.67e-08
Epoch: 1, Step: 1400/10000, Actor Loss: 0.000013, Reward: -1.608418, Avg Response Len: 96.00, LR: 7.66e-08
Epoch: 1, Step: 1420/10000, Actor Loss: 0.000006, Reward: -1.753175, Avg Response Len: 96.00, LR: 7.65e-08
Epoch: 1, Step: 1440/10000, Actor Loss: 0.000009, Reward: -2.186566, Avg Response Len: 96.00, LR: 7.64e-08
Epoch: 1, Step: 1460/10000, Actor Loss: 0.000008, Reward: -1.328941, Avg Response Len: 96.00, LR: 7.63e-08
Epoch: 1, Step: 1480/10000, Actor Loss: 0.000009, Reward: -1.395294, Avg Response Len: 96.00, LR: 7.62e-08
Epoch: 1, Step: 1500/10000, Actor Loss: 0.000010, Reward: -1.656652, Avg Response Len: 96.00, LR: 7.61e-08
Epoch: 1, Step: 1520/10000, Actor Loss: 0.000007, Reward: -1.103698, Avg Response Len: 96.00, LR: 7.60e-08
Epoch: 1, Step: 1540/10000, Actor Loss: 0.000011, Reward: -2.250036, Avg Response Len: 96.00, LR: 7.59e-08
Epoch: 1, Step: 1560/10000, Actor Loss: 0.000008, Reward: -1.211613, Avg Response Len: 96.00, LR: 7.58e-08
Epoch: 1, Step: 1580/10000, Actor Loss: 0.000012, Reward: -1.272021, Avg Response Len: 96.00, LR: 7.57e-08
Epoch: 1, Step: 1600/10000, Actor Loss: 0.000010, Reward: -2.701875, Avg Response Len: 96.00, LR: 7.55e-08
Epoch: 1, Step: 1620/10000, Actor Loss: 0.000011, Reward: -1.495709, Avg Response Len: 96.00, LR: 7.54e-08
Epoch: 1, Step: 1640/10000, Actor Loss: 0.000011, Reward: -2.198676, Avg Response Len: 96.00, LR: 7.53e-08
Epoch: 1, Step: 1660/10000, Actor Loss: 0.000013, Reward: -1.628832, Avg Response Len: 96.00, LR: 7.52e-08
Epoch: 1, Step: 1680/10000, Actor Loss: 0.000010, Reward: -0.904415, Avg Response Len: 96.00, LR: 7.51e-08
Epoch: 1, Step: 1700/10000, Actor Loss: 0.000011, Reward: -0.412205, Avg Response Len: 96.00, LR: 7.50e-08
Epoch: 1, Step: 1720/10000, Actor Loss: 0.000020, Reward: -0.523292, Avg Response Len: 96.00, LR: 7.49e-08
Epoch: 1, Step: 1740/10000, Actor Loss: 0.000011, Reward: -2.125401, Avg Response Len: 96.00, LR: 7.48e-08
Epoch: 1, Step: 1760/10000, Actor Loss: 0.000007, Reward: -1.365370, Avg Response Len: 96.00, LR: 7.46e-08
Epoch: 1, Step: 1780/10000, Actor Loss: 0.000014, Reward: -1.194783, Avg Response Len: 96.00, LR: 7.45e-08
Epoch: 1, Step: 1800/10000, Actor Loss: 0.000009, Reward: -0.902907, Avg Response Len: 96.00, LR: 7.44e-08
Epoch: 1, Step: 1820/10000, Actor Loss: 0.000014, Reward: -2.280909, Avg Response Len: 96.00, LR: 7.43e-08
Epoch: 1, Step: 1840/10000, Actor Loss: 0.000015, Reward: -1.927246, Avg Response Len: 96.00, LR: 7.42e-08
Epoch: 1, Step: 1860/10000, Actor Loss: 0.000013, Reward: -1.792595, Avg Response Len: 96.00, LR: 7.40e-08
Epoch: 1, Step: 1880/10000, Actor Loss: 0.000010, Reward: -1.267163, Avg Response Len: 96.00, LR: 7.39e-08
Epoch: 1, Step: 1900/10000, Actor Loss: 0.000012, Reward: -1.461349, Avg Response Len: 96.00, LR: 7.38e-08
Epoch: 1, Step: 1920/10000, Actor Loss: 0.000016, Reward: -2.383640, Avg Response Len: 96.00, LR: 7.36e-08
Epoch: 1, Step: 1940/10000, Actor Loss: 0.000015, Reward: -1.849048, Avg Response Len: 96.00, LR: 7.35e-08
Epoch: 1, Step: 1960/10000, Actor Loss: 0.000006, Reward: -1.732422, Avg Response Len: 96.00, LR: 7.34e-08
Epoch: 1, Step: 1980/10000, Actor Loss: 0.000016, Reward: -2.295398, Avg Response Len: 96.00, LR: 7.33e-08
Epoch: 1, Step: 2000/10000, Actor Loss: 0.000012, Reward: -1.502099, Avg Response Len: 96.00, LR: 7.31e-08
Epoch: 1, Step: 2020/10000, Actor Loss: 0.000016, Reward: -2.267945, Avg Response Len: 96.00, LR: 7.30e-08
Epoch: 1, Step: 2040/10000, Actor Loss: 0.000021, Reward: -1.182141, Avg Response Len: 96.00, LR: 7.29e-08
