nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:1950/9819, optimizer_step:1950, loss:2.5714, grad_norm:2.6755, lr:0.00000092, elapsed:1.7min
Epoch:[1/1] batch:2000/9819, optimizer_step:2000, loss:2.4137, grad_norm:2.5654, lr:0.00000091, elapsed:1.8min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:2050/9819, optimizer_step:2050, loss:2.5045, grad_norm:2.8297, lr:0.00000091, elapsed:1.8min
Epoch:[1/1] batch:2100/9819, optimizer_step:2100, loss:2.3918, grad_norm:2.4400, lr:0.00000090, elapsed:1.9min
Epoch:[1/1] batch:2150/9819, optimizer_step:2150, loss:2.5893, grad_norm:2.6521, lr:0.00000090, elapsed:1.9min
Epoch:[1/1] batch:2200/9819, optimizer_step:2200, loss:2.4054, grad_norm:2.5479, lr:0.00000089, elapsed:1.9min
Epoch:[1/1] batch:2250/9819, optimizer_step:2250, loss:2.5305, grad_norm:2.8475, lr:0.00000089, elapsed:2.0min
Epoch:[1/1] batch:2300/9819, optimizer_step:2300, loss:2.3165, grad_norm:2.5049, lr:0.00000088, elapsed:2.0min
Epoch:[1/1] batch:2350/9819, optimizer_step:2350, loss:2.5915, grad_norm:2.8744, lr:0.00000088, elapsed:2.1min
Epoch:[1/1] batch:2400/9819, optimizer_step:2400, loss:2.6914, grad_norm:2.6258, lr:0.00000087, elapsed:2.1min
Epoch:[1/1] batch:2450/9819, optimizer_step:2450, loss:2.5639, grad_norm:2.8930, lr:0.00000087, elapsed:2.2min
Epoch:[1/1] batch:2500/9819, optimizer_step:2500, loss:2.4456, grad_norm:2.6126, lr:0.00000086, elapsed:2.2min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:2550/9819, optimizer_step:2550, loss:2.3206, grad_norm:2.3916, lr:0.00000086, elapsed:2.2min
Epoch:[1/1] batch:2600/9819, optimizer_step:2600, loss:2.3113, grad_norm:2.4342, lr:0.00000085, elapsed:2.3min
Epoch:[1/1] batch:2650/9819, optimizer_step:2650, loss:2.4121, grad_norm:2.5160, lr:0.00000085, elapsed:2.3min
Epoch:[1/1] batch:2700/9819, optimizer_step:2700, loss:2.3705, grad_norm:2.6125, lr:0.00000084, elapsed:2.4min
